Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
BackEnd,ca.dal.Maverick.utils,utilTest,0,0,2,2,9,2,0,0,-1.0,0,1,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\test\java\ca\dal\Maverick\utils\utilTest.java,8
BackEnd,ca.dal.Maverick.utils,UUIDUtilsTest,0,0,1,1,5,1,0,0,-1.0,0,1,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\test\java\ca\dal\Maverick\utils\UUIDUtilsTest.java,7
BackEnd,ca.dal.Maverick.workspace.controller,WorkSpaceController,1,0,8,8,27,8,0,0,0.0,0,3,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\workspace\controller\WorkSpaceController.java,13
BackEnd,ca.dal.Maverick.workspace.model,WorkSpaceModel,7,0,18,18,68,18,0,0,0.2222222222222222,3,3,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\workspace\model\WorkSpaceModel.java,13
BackEnd,ca.dal.Maverick.workspace.model,WorkSpaceRequestModel,3,0,9,9,33,9,0,0,0.2222222222222222,4,0,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\workspace\model\WorkSpaceRequestModel.java,3
BackEnd,ca.dal.Maverick.workspace.repository,WorkSpaceRepository,0,0,2,0,4,2,0,0,-1.0,2,1,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\workspace\repository\WorkSpaceRepository.java,10
BackEnd,ca.dal.Maverick.workspace.service,WorkSpaceService,2,0,8,8,84,16,0,0,0.0,3,5,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\main\java\ca\dal\Maverick\workspace\service\WorkSpaceService.java,19
BackEnd,ca.dal.Maverick.board,BoardServiceTest,10,0,9,7,78,9,0,0,0.0,0,5,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\test\java\ca\dal\Maverick\board\BoardServiceTest.java,29
BackEnd,ca.dal.Maverick.token,tokenTest,2,0,9,8,46,9,0,0,0.7777777777777778,0,1,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\test\java\ca\dal\Maverick\token\tokenTest.java,15
BackEnd,ca.dal.Maverick.workspace,WorkSpaceServiceTest,14,0,11,9,97,11,0,0,0.0,0,7,C:\Users\igort\Git\CSCI3130\Maverick\BackEnd\src\test\java\ca\dal\Maverick\workspace\WorkSpaceServiceTest.java,29
